Definição Synset,ID Synset,Definição Relacionada,ID Relacionada,Relação
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a portable container for carrying several objects,case.n.05,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a glass container used to store and display items in a shop or museum or home,case.n.20,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container that holds a magnetic tape used for recording or playing sound or video,cassette.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a small open container usually used for drinking; usually has a handle,cup.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a cylindrical container for oxygen or compressed air,cylinder.n.04,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a small container (open at one end) in which dice are shaken by hand and from which they are thrown,dice_cup.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a piece of dishware normally used as a container for holding or serving food,dish.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container so designed that the contents can be used in prescribed amounts,dispenser.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a boxlike container in a piece of furniture; made so as to slide in and out,drawer.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container designed to receive and transport and dump waste,dumpster.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container that has been emptied,empty.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,"a flat (usually rectangular) container for a letter, thin package, etc.",envelope.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container for holding liquids while drinking,glass.n.02,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container from which a person draws a wrapped item at random without knowing the contents,grab_bag.n.02,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,container consisting of any configuration of magnetic fields used to contain a plasma during controlled thermonuclear reactions,magnetic_bottle.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container for something to be mailed,mailer.n.04,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container (usually in a barn or stable) from which cattle or horses feed,manger.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container of some standard capacity that is used to obtain fixed amounts of a substance,measure.n.09,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,container into which liquid is poured to create a given shape when it hardens,mold.n.02,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a wrapped container,package.n.02,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,shallow container made of metal,pan.n.03,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a detachable container of fuel on an airplane,pod.n.04,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container in which plants are cultivated,pot.n.04,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,container for carrying gunpowder; made of the hollow horn of an animal,powder_horn.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container that is used to put or keep things in,receptacle.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container where religious relics are stored or displayed (especially relics of saints),reliquary.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a small container for holding salt at the dining table,saltcellar.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container (usually with a slot in the top) for keeping money at home,savings_bank.n.02,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,container for coal; shaped to permit pouring the coal onto the fire,scuttle.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container in which something can be shaken,shaker.n.03,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food,spoon.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,container consisting of a set of magnets set in a doughnut-shaped ring around which charged particles from an accelerator can be kept circulating until they are used,storage_ring.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a small metal cap to protect the finger while sewing; can be used as a small container,thimble.n.02,Hyponyms
